Fiscal Year,County,Region,Program,Abuse Neglect Fatalities,Race Ethnicity,Age,Gender
2024,Anderson,4-Tyler,Child Protective Investigations,1,African American,0,Male
2024,Angelina,5-Beaumont,Child Protective Investigations,1,African American,0,Male
2024,Atascosa,8-San Antonio,Child Protective Investigations,1,Hispanic,12,Female
2024,Bee,11-Edinburg,Child Protective Investigations,1,Hispanic,0,Female
2024,Bell,7-Austin,Child Protective Investigations,1,African American,6,Male
2024,Bell,7-Austin,Child Protective Investigations,1,Anglo,0,Female
2024,Bexar,8-San Antonio,Child Protective Investigations,1,Hispanic,1,Female
2024,Bexar,8-San Antonio,Child Protective Investigations,1,Hispanic,3,Male
2024,Bexar,8-San Antonio,Child Protective Investigations,1,Hispanic,4,Male
2024,Bexar,8-San Antonio,Child Protective Investigations,1,Hispanic,6,Female
2024,Bexar,8-San Antonio,Child Protective Investigations,1,Other,0,Male
2024,Brazoria,6-Houston,Child Protective Investigations,1,African American,7,Male
2024,Brazoria,6-Houston,Child Protective Investigations,1,Anglo,13,Female
2024,Brazoria,6-Houston,Child Protective Investigations,1,Anglo,14,Male
2024,Brazos,7-Austin,Child Protective Investigations,1,Other,0,Male
2024,Brown,2-Abilene,Child Protective Investigations,1,Hispanic,1,Male
2024,Collin,3-Arlington,Child Protective Investigations,1,Asian,4,Female
2024,Collin,3-Arlington,Child Protective Investigations,1,Asian,6,Female
2024,Dallas,3-Arlington,Child Protective Investigations,1,African American,6,Female
2024,Dallas,3-Arlington,Child Protective Investigations,1,Hispanic,1,Male
2024,Dallas,3-Arlington,Child Protective Investigations,1,Hispanic,8,Female
2024,Dallas,3-Arlington,Day Care Investigations,1,Native American,1,Male
2024,Ector,9-Midland,Child Protective Investigations,1,African American,17,Female
2024,Ector,9-Midland,Child Protective Investigations,1,Unknown,0,Male
2024,El Paso,10-El Paso,Child Protective Investigations,1,African American,3,Male
2024,El Paso,10-El Paso,Child Protective Investigations,1,Anglo,2,Male
2024,El Paso,10-El Paso,Child Protective Investigations,1,Hispanic,2,Female
2024,Ellis,3-Arlington,Child Protective Investigations,1,Anglo,1,Female
2024,Falls,7-Austin,Child Protective Investigations,1,Hispanic,0,Male
2024,Fannin,3-Arlington,Child Protective Investigations,1,Anglo,8,Female
2024,Floyd,1-Lubbock,Child Protective Investigations,1,Hispanic,0,Female
2024,Fort Bend,6-Houston,Child Protective Investigations,1,Hispanic,0,Female
2024,Frio,8-San Antonio,Child Protective Investigations,1,Hispanic,0,Female
2024,Galveston,6-Houston,Child Protective Investigations,1,Anglo,0,Male
2024,Galveston,6-Houston,Residential Child Care Investigations,1,Anglo,0,Male
2024,Grayson,3-Arlington,Child Protective Investigations,1,Hispanic,0,Male
2024,Harris,6-Houston,Child Protective Investigations,2,African American,0,Female
2024,Harris,6-Houston,Child Protective Investigations,1,African American,1,Female
2024,Harris,6-Houston,Child Protective Investigations,1,African American,4,Female
2024,Harris,6-Houston,Child Protective Investigations,1,African American,5,Male
2024,Harris,6-Houston,Child Protective Investigations,1,Anglo,1,Male
2024,Harris,6-Houston,Child Protective Investigations,7,Hispanic,0,Female
