Fiscal Year,County,Region,Program,Abuse Neglect Fatalities,Race Ethnicity,Age,Gender,Age Group
2024-01-01,Anderson,Tyler,Child Protective Investigations,1,African American,0,Male,Infant (0-1)
2024-01-01,Angelina,Beaumont,Child Protective Investigations,1,African American,0,Male,Infant (0-1)
2024-01-01,Atascosa,San Antonio,Child Protective Investigations,1,Hispanic,12,Female,Pre-Teen (10-14)
2024-01-01,Bee,Edinburg,Child Protective Investigations,1,Hispanic,0,Female,Infant (0-1)
2024-01-01,Bell,Austin,Child Protective Investigations,1,African American,6,Male,Child (5-9)
2024-01-01,Bell,Austin,Child Protective Investigations,1,Anglo,0,Female,Infant (0-1)
2024-01-01,Bexar,San Antonio,Child Protective Investigations,1,Hispanic,1,Female,Toddler (2-4)
2024-01-01,Bexar,San Antonio,Child Protective Investigations,1,Hispanic,3,Male,Toddler (2-4)
2024-01-01,Bexar,San Antonio,Child Protective Investigations,1,Hispanic,4,Male,Child (5-9)
2024-01-01,Bexar,San Antonio,Child Protective Investigations,1,Hispanic,6,Female,Child (5-9)
2024-01-01,Bexar,San Antonio,Child Protective Investigations,1,Other,0,Male,Infant (0-1)
2024-01-01,Brazoria,Houston,Child Protective Investigations,1,African American,7,Male,Child (5-9)
2024-01-01,Brazoria,Houston,Child Protective Investigations,1,Anglo,13,Female,Pre-Teen (10-14)
2024-01-01,Brazoria,Houston,Child Protective Investigations,1,Anglo,14,Male,Teen (15-17)
2024-01-01,Brazos,Austin,Child Protective Investigations,1,Other,0,Male,Infant (0-1)
2024-01-01,Brown,Abilene,Child Protective Investigations,1,Hispanic,1,Male,Toddler (2-4)
2024-01-01,Collin,Arlington,Child Protective Investigations,1,Asian,4,Female,Child (5-9)
2024-01-01,Collin,Arlington,Child Protective Investigations,1,Asian,6,Female,Child (5-9)
2024-01-01,Dallas,Arlington,Child Protective Investigations,1,African American,6,Female,Child (5-9)
2024-01-01,Dallas,Arlington,Child Protective Investigations,1,Hispanic,1,Male,Toddler (2-4)
2024-01-01,Dallas,Arlington,Child Protective Investigations,1,Hispanic,8,Female,Child (5-9)
2024-01-01,Dallas,Arlington,Day Care Investigations,1,Native American,1,Male,Toddler (2-4)
2024-01-01,Ector,Midland,Child Protective Investigations,1,African American,17,Female,Teen (15-17)
2024-01-01,Ector,Midland,Child Protective Investigations,1,Unknown,0,Male,Infant (0-1)
2024-01-01,El Paso,El Paso,Child Protective Investigations,1,African American,3,Male,Toddler (2-4)
2024-01-01,El Paso,El Paso,Child Protective Investigations,1,Anglo,2,Male,Toddler (2-4)
2024-01-01,El Paso,El Paso,Child Protective Investigations,1,Hispanic,2,Female,Toddler (2-4)
2024-01-01,Ellis,Arlington,Child Protective Investigations,1,Anglo,1,Female,Toddler (2-4)
2024-01-01,Falls,Austin,Child Protective Investigations,1,Hispanic,0,Male,Infant (0-1)
2024-01-01,Fannin,Arlington,Child Protective Investigations,1,Anglo,8,Female,Child (5-9)
2024-01-01,Floyd,Lubbock,Child Protective Investigations,1,Hispanic,0,Female,Infant (0-1)
2024-01-01,Fort Bend,Houston,Child Protective Investigations,1,Hispanic,0,Female,Infant (0-1)
2024-01-01,Frio,San Antonio,Child Protective Investigations,1,Hispanic,0,Female,Infant (0-1)
2024-01-01,Galveston,Houston,Child Protective Investigations,1,Anglo,0,Male,Infant (0-1)
2024-01-01,Galveston,Houston,Residential Child Care Investigations,1,Anglo,0,Male,Infant (0-1)
2024-01-01,Grayson,Arlington,Child Protective Investigations,1,Hispanic,0,Male,Infant (0-1)
2024-01-01,Harris,Houston,Child Protective Investigations,2,African American,0,Female,Infant (0-1)
2024-01-01,Harris,Houston,Child Protective Investigations,1,African American,1,Female,Toddler (2-4)
2024-01-01,Harris,Houston,Child Protective Investigations,1,African American,4,Female,Child (5-9)
2024-01-01,Harris,Houston,Child Protective Investigations,1,African American,5,Male,Child (5-9)
2024-01-01,Harris,Houston,Child Protective Investigations,1,Anglo,1,Male,Toddler (2-4)
2024-01-01,Harris,Houston,Child Protective Investigations,7,Hispanic,0,Female,Infant (0-1)
2024-01-01,Harris,Houston,Child Protective Investigations,1,Hispanic,0,Male,Infant (0-1)
2024-01-01,Harris,Houston,Child Protective Investigations,2,Hispanic,1,Male,Toddler (2-4)
2024-01-01,Harris,Houston,Child Protective Investigations,1,Hispanic,12,Male,Pre-Teen (10-14)
2024-01-01,Harris,Houston,Child Protective Investigations,1,Hispanic,16,Female,Teen (15-17)
2024-01-01,Harrison,Tyler,Child Protective Investigations,1,African American,13,Male,Pre-Teen (10-14)
2024-01-01,Harrison,Tyler,Child Protective Investigations,1,Hispanic,0,Female,Infant (0-1)
2024-01-01,Hidalgo,Edinburg,Child Protective Investigations,1,Hispanic,3,Male,Toddler (2-4)
2024-01-01,Jefferson,Beaumont,Child Protective Investigations,1,African American,0,Male,Infant (0-1)
2024-01-01,Jefferson,Beaumont,Child Protective Investigations,1,Hispanic,2,Male,Toddler (2-4)
